pontificate_id,annuario_style_sequence,pope_id,papal_name,pontificate_ordinal_for_person,pontificate_start,pontificate_end,date_precision,is_current,is_multiple_pontificate_case,notes
pontificate-139,139,pope-139,Sylvester II,1,,,not-yet-normalized,False,False,
pontificate-140,140,pope-140,John XVII,1,,,not-yet-normalized,False,False,
pontificate-141,141,pope-141,John XVIII,1,,,not-yet-normalized,False,False,
pontificate-142,142,pope-142,Sergius IV,1,,,not-yet-normalized,False,False,
pontificate-143,143,pope-143,Benedict VIII,1,,,not-yet-normalized,False,False,
pontificate-144,144,pope-144,John XIX,1,,,not-yet-normalized,False,False,
pontificate-145,145,pope-145,Benedict IX,1,1032,1044,mixed,False,True,First pontificate of Benedict IX.
pontificate-146,146,pope-146,Sylvester III,1,,,not-yet-normalized,False,False,
pontificate-147,147,pope-145,Benedict IX,2,1045,1045,mixed,False,True,Second pontificate of Benedict IX.
pontificate-148,148,pope-147,Gregory VI,1,,,not-yet-normalized,False,False,
pontificate-149,149,pope-148,Clement II,1,,,not-yet-normalized,False,False,
pontificate-150,150,pope-145,Benedict IX,3,1047,1048,mixed,False,True,Third pontificate of Benedict IX.
pontificate-151,151,pope-149,Damasus II,1,,,not-yet-normalized,False,False,
pontificate-152,152,pope-150,Leo IX,1,,,not-yet-normalized,False,False,
pontificate-153,153,pope-151,Victor II,1,,,not-yet-normalized,False,False,
pontificate-154,154,pope-152,Stephen IX (X),1,,,not-yet-normalized,False,False,
pontificate-155,155,pope-153,Nicholas II,1,,,not-yet-normalized,False,False,
pontificate-156,156,pope-154,Alexander II,1,,,not-yet-normalized,False,False,
pontificate-157,157,pope-155,Gregory VII,1,,,not-yet-normalized,False,False,
pontificate-158,158,pope-156,Victor III,1,,,not-yet-normalized,False,False,
pontificate-159,159,pope-157,Urban II,1,,,not-yet-normalized,False,False,
pontificate-160,160,pope-158,Paschal II,1,,,not-yet-normalized,False,False,
pontificate-161,161,pope-159,Gelasius II,1,,,not-yet-normalized,False,False,
pontificate-162,162,pope-160,Callixtus II,1,,,not-yet-normalized,False,False,
pontificate-163,163,pope-161,Honorius II,1,,,not-yet-normalized,False,False,
pontificate-164,164,pope-162,Innocent II,1,,,not-yet-normalized,False,False,
pontificate-165,165,pope-163,Celestine II,1,,,not-yet-normalized,False,False,
pontificate-166,166,pope-164,Lucius II,1,,,not-yet-normalized,False,False,
pontificate-167,167,pope-165,Eugene III,1,,,not-yet-normalized,False,False,
pontificate-168,168,pope-166,Anastasius IV,1,,,not-yet-normalized,False,False,
pontificate-169,169,pope-167,Adrian IV,1,,,not-yet-normalized,False,False,
pontificate-170,170,pope-168,Alexander III,1,,,not-yet-normalized,False,False,
pontificate-171,171,pope-169,Lucius III,1,,,not-yet-normalized,False,False,
pontificate-172,172,pope-170,Urban III,1,,,not-yet-normalized,False,False,
pontificate-173,173,pope-171,Gregory VIII,1,,,not-yet-normalized,False,False,
pontificate-174,174,pope-172,Clement III,1,,,not-yet-normalized,False,False,
pontificate-175,175,pope-173,Celestine III,1,,,not-yet-normalized,False,False,
pontificate-176,176,pope-174,Innocent III,1,,,not-yet-normalized,False,False,
pontificate-177,177,pope-175,Honorius III,1,,,not-yet-normalized,False,False,
pontificate-178,178,pope-176,Gregory IX,1,,,not-yet-normalized,False,False,
pontificate-179,179,pope-177,Celestine IV,1,,,not-yet-normalized,False,False,
pontificate-180,180,pope-178,Innocent IV,1,,,not-yet-normalized,False,False,
pontificate-181,181,pope-179,Alexander IV,1,,,not-yet-normalized,False,False,
pontificate-182,182,pope-180,Urban IV,1,,,not-yet-normalized,False,False,
pontificate-183,183,pope-181,Clement IV,1,,,not-yet-normalized,False,False,
pontificate-184,184,pope-182,Gregory X,1,,,not-yet-normalized,False,False,
pontificate-185,185,pope-183,Innocent V,1,,,not-yet-normalized,False,False,
pontificate-186,186,pope-184,Adrian V,1,,,not-yet-normalized,False,False,
pontificate-187,187,pope-185,John XXI,1,,,not-yet-normalized,False,False,
pontificate-188,188,pope-186,Nicholas III,1,,,not-yet-normalized,False,False,
pontificate-189,189,pope-187,Martin IV,1,,,not-yet-normalized,False,False,
pontificate-190,190,pope-188,Honorius IV,1,,,not-yet-normalized,False,False,
pontificate-191,191,pope-189,Nicholas IV,1,,,not-yet-normalized,False,False,
pontificate-192,192,pope-190,Celestine V,1,,,not-yet-normalized,False,False,
pontificate-193,193,pope-191,Boniface VIII,1,,,not-yet-normalized,False,False,
pontificate-194,194,pope-192,Benedict XI,1,,,not-yet-normalized,False,False,
pontificate-195,195,pope-193,Clement V,1,,,not-yet-normalized,False,False,
pontificate-196,196,pope-194,John XXII,1,,,not-yet-normalized,False,False,
pontificate-197,197,pope-195,Benedict XII,1,,,not-yet-normalized,False,False,
pontificate-198,198,pope-196,Clement VI,1,,,not-yet-normalized,False,False,
pontificate-199,199,pope-197,Innocent VI,1,,,not-yet-normalized,False,False,
pontificate-200,200,pope-198,Urban V,1,,,not-yet-normalized,False,False,
pontificate-201,201,pope-199,Gregory XI,1,,,not-yet-normalized,False,False,
pontificate-202,202,pope-200,Urban VI,1,,,not-yet-normalized,False,False,
pontificate-203,203,pope-201,Boniface IX,1,,,not-yet-normalized,False,False,
pontificate-204,204,pope-202,Innocent VII,1,,,not-yet-normalized,False,False,
pontificate-205,205,pope-203,Gregory XII,1,,,not-yet-normalized,False,False,
pontificate-206,206,pope-204,Martin V,1,,,not-yet-normalized,False,False,
pontificate-207,207,pope-205,Eugene IV,1,,,not-yet-normalized,False,False,
pontificate-208,208,pope-206,Nicholas V,1,,,not-yet-normalized,False,False,
pontificate-209,209,pope-207,Callixtus III,1,,,not-yet-normalized,False,False,
pontificate-210,210,pope-208,Pius II,1,,,not-yet-normalized,False,False,
pontificate-211,211,pope-209,Paul II,1,,,not-yet-normalized,False,False,
pontificate-212,212,pope-210,Sixtus IV,1,,,not-yet-normalized,False,False,
pontificate-213,213,pope-211,Innocent VIII,1,,,not-yet-normalized,False,False,
pontificate-214,214,pope-212,Alexander VI,1,,,not-yet-normalized,False,False,
pontificate-215,215,pope-213,Pius III,1,,,not-yet-normalized,False,False,
pontificate-216,216,pope-214,Julius II,1,,,not-yet-normalized,False,False,
pontificate-217,217,pope-215,Leo X,1,,,not-yet-normalized,False,False,
pontificate-218,218,pope-216,Adrian VI,1,,,not-yet-normalized,False,False,
pontificate-219,219,pope-217,Clement VII,1,,,not-yet-normalized,False,False,
pontificate-220,220,pope-218,Paul III,1,,,not-yet-normalized,False,False,
pontificate-221,221,pope-219,Julius III,1,,,not-yet-normalized,False,False,
pontificate-222,222,pope-220,Marcellus II,1,,,not-yet-normalized,False,False,
pontificate-223,223,pope-221,Paul IV,1,,,not-yet-normalized,False,False,
pontificate-224,224,pope-222,Pius IV,1,,,not-yet-normalized,False,False,
pontificate-225,225,pope-223,Pius V,1,,,not-yet-normalized,False,False,
pontificate-226,226,pope-224,Gregory XIII,1,,,not-yet-normalized,False,False,
pontificate-227,227,pope-225,Sixtus V,1,,,not-yet-normalized,False,False,
pontificate-228,228,pope-226,Urban VII,1,,,not-yet-normalized,False,False,
pontificate-229,229,pope-227,Gregory XIV,1,,,not-yet-normalized,False,False,
pontificate-230,230,pope-228,Innocent IX,1,,,not-yet-normalized,False,False,
pontificate-231,231,pope-229,Clement VIII,1,,,not-yet-normalized,False,False,
pontificate-232,232,pope-230,Leo XI,1,,,not-yet-normalized,False,False,
pontificate-233,233,pope-231,Paul V,1,,,not-yet-normalized,False,False,
pontificate-234,234,pope-232,Gregory XV,1,,,not-yet-normalized,False,False,
pontificate-235,235,pope-233,Urban VIII,1,,,not-yet-normalized,False,False,
pontificate-236,236,pope-234,Innocent X,1,,,not-yet-normalized,False,False,
pontificate-237,237,pope-235,Alexander VII,1,,,not-yet-normalized,False,False,
pontificate-238,238,pope-236,Clement IX,1,,,not-yet-normalized,False,False,
pontificate-239,239,pope-237,Clement X,1,,,not-yet-normalized,False,False,
pontificate-240,240,pope-238,Innocent XI,1,,,not-yet-normalized,False,False,
pontificate-241,241,pope-239,Alexander VIII,1,,,not-yet-normalized,False,False,
pontificate-242,242,pope-240,Innocent XII,1,,,not-yet-normalized,False,False,
pontificate-243,243,pope-241,Clement XI,1,,,not-yet-normalized,False,False,
pontificate-244,244,pope-242,Innocent XIII,1,,,not-yet-normalized,False,False,
pontificate-245,245,pope-243,Benedict XIII,1,,,not-yet-normalized,False,False,
pontificate-246,246,pope-244,Clement XII,1,,,not-yet-normalized,False,False,
pontificate-247,247,pope-245,Benedict XIV,1,,,not-yet-normalized,False,False,
pontificate-248,248,pope-246,Clement XIII,1,,,not-yet-normalized,False,False,
pontificate-249,249,pope-247,Clement XIV,1,,,not-yet-normalized,False,False,
pontificate-250,250,pope-248,Pius VI,1,,,not-yet-normalized,False,False,
pontificate-251,251,pope-249,Pius VII,1,,,not-yet-normalized,False,False,
pontificate-252,252,pope-250,Leo XII,1,,,not-yet-normalized,False,False,
pontificate-253,253,pope-251,Pius VIII,1,,,not-yet-normalized,False,False,
pontificate-254,254,pope-252,Gregory XVI,1,,,not-yet-normalized,False,False,
pontificate-255,255,pope-253,Pius IX,1,,,not-yet-normalized,False,False,
pontificate-256,256,pope-254,Leo XIII,1,,,not-yet-normalized,False,False,
pontificate-257,257,pope-255,Pius X,1,1903-08-04,1914-08-20,mixed,False,False,
pontificate-258,258,pope-256,Benedict XV,1,1914-09-03,1922-01-22,mixed,False,False,
pontificate-259,259,pope-257,Pius XI,1,1922-02-06,1939-02-10,mixed,False,False,
pontificate-260,260,pope-258,Pius XII,1,1939-03-02,1958-10-09,mixed,False,False,
pontificate-261,261,pope-259,John XXIII,1,1958-10-28,1963-06-03,mixed,False,False,
pontificate-262,262,pope-260,Paul VI,1,1963-06-21,1978-08-06,mixed,False,False,
pontificate-263,263,pope-261,John Paul I,1,1978-08-26,1978-09-28,mixed,False,False,
pontificate-264,264,pope-262,John Paul II,1,1978-10-16,2005-04-02,mixed,False,False,
pontificate-265,265,pope-263,Benedict XVI,1,2005-04-19,2013-02-28,mixed,False,False,Pontificate ended by resignation.
pontificate-266,266,pope-264,Francis,1,2013-03-13,2025-04-21,mixed,False,False,Pontificate ended with the death of Pope Francis.
pontificate-267,267,pope-265,Leo XIV,1,2025-05-08,,mixed,True,False,Current pope.
