pope_id,person_sequence,papal_name,display_name,slug,canonization_status,person_status,birth_name,birth_place,origin,religious_order,notes,source_basis
pope-054,54,Felix IV (Felix III),Felix IV (Felix III),felix-iv-felix-iii,Saint,canonical-pope,,,,,Source list label: St. Felix IV (Felix III).,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-055,55,Boniface II,Boniface II,boniface-ii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-056,56,John II,John II,john-ii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-057,57,Agapetus I,Agapetus I,agapetus-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-058,58,Silverius,Silverius,silverius,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-059,59,Vigilius,Vigilius,vigilius,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-060,60,Pelagius I,Pelagius I,pelagius-i,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-061,61,John III,John III,john-iii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-062,62,Benedict I,Benedict I,benedict-i,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-063,63,Pelagius II,Pelagius II,pelagius-ii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-064,64,Gregory I,Gregory I,gregory-i,Saint,canonical-pope,,,,,Source list label: St. Gregory I (Gregory the Great).,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-065,65,Sabinian,Sabinian,sabinian,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-066,66,Boniface III,Boniface III,boniface-iii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-067,67,Boniface IV,Boniface IV,boniface-iv,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-068,68,Adeodatus I,Adeodatus I,adeodatus-i,Saint,canonical-pope,,,,,Source list label: St. Adeodatus I (Deusdedit).,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-069,69,Boniface V,Boniface V,boniface-v,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-070,70,Honorius I,Honorius I,honorius-i,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-071,71,Severinus,Severinus,severinus,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-072,72,John IV,John IV,john-iv,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-073,73,Theodore I,Theodore I,theodore-i,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-074,74,Martin I,Martin I,martin-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-075,75,Eugene I,Eugene I,eugene-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-076,76,Vitalian,Vitalian,vitalian,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-077,77,Adeodatus II,Adeodatus II,adeodatus-ii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-078,78,Donus,Donus,donus,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-079,79,Agatho,Agatho,agatho,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-080,80,Leo II,Leo II,leo-ii,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-081,81,Benedict II,Benedict II,benedict-ii,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-082,82,John V,John V,john-v,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-083,83,Conon,Conon,conon,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-084,84,Sergius I,Sergius I,sergius-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-085,85,John VI,John VI,john-vi,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-086,86,John VII,John VII,john-vii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-087,87,Sisinnius,Sisinnius,sisinnius,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-088,88,Constantine,Constantine,constantine,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-089,89,Gregory II,Gregory II,gregory-ii,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-090,90,Gregory III,Gregory III,gregory-iii,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-091,91,Zachary,Zachary,zachary,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-092,92,Stephen II (III),Stephen II (III),stephen-ii-iii,,canonical-pope,,,,,Source list label: Stephen II (III). Stephen numbering varies by historical convention after the removal of Pope-elect Stephen from the official list.,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-093,93,Paul I,Paul I,paul-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-094,94,Stephen III (IV),Stephen III (IV),stephen-iii-iv,,canonical-pope,,,,,Source list label: Stephen III (IV). Stephen numbering varies by historical convention after the removal of Pope-elect Stephen from the official list.,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-095,95,Adrian I,Adrian I,adrian-i,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-096,96,Leo III,Leo III,leo-iii,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-097,97,Stephen IV (V),Stephen IV (V),stephen-iv-v,,canonical-pope,,,,,Source list label: Stephen IV (V). Stephen numbering varies by historical convention after the removal of Pope-elect Stephen from the official list.,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-098,98,Paschal I,Paschal I,paschal-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-099,99,Eugene II,Eugene II,eugene-ii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-100,100,Valentine,Valentine,valentine,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-101,101,Gregory IV,Gregory IV,gregory-iv,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-102,102,Sergius II,Sergius II,sergius-ii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-103,103,Leo IV,Leo IV,leo-iv,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-104,104,Benedict III,Benedict III,benedict-iii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-105,105,Nicholas I,Nicholas I,nicholas-i,Saint,canonical-pope,,,,,Source list label: St. Nicholas I (Nicholas the Great).,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-106,106,Adrian II,Adrian II,adrian-ii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-107,107,John VIII,John VIII,john-viii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-108,108,Marinus I,Marinus I,marinus-i,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-109,109,Adrian III,Adrian III,adrian-iii,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-110,110,Stephen V (VI),Stephen V (VI),stephen-v-vi,,canonical-pope,,,,,Source list label: Stephen V (VI). Stephen numbering varies by historical convention after the removal of Pope-elect Stephen from the official list.,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-111,111,Formosus,Formosus,formosus,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-112,112,Boniface VI,Boniface VI,boniface-vi,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-113,113,Stephen VI (VII),Stephen VI (VII),stephen-vi-vii,,canonical-pope,,,,,Source list label: Stephen VI (VII). Stephen numbering varies by historical convention after the removal of Pope-elect Stephen from the official list.,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-114,114,Romanus,Romanus,romanus,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-115,115,Theodore II,Theodore II,theodore-ii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-116,116,John IX,John IX,john-ix,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-117,117,Benedict IV,Benedict IV,benedict-iv,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-118,118,Leo V,Leo V,leo-v,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-119,119,Sergius III,Sergius III,sergius-iii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-120,120,Anastasius III,Anastasius III,anastasius-iii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-121,121,Lando,Lando,lando,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-122,122,John X,John X,john-x,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-123,123,Leo VI,Leo VI,leo-vi,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-124,124,Stephen VII (VIII),Stephen VII (VIII),stephen-vii-viii,,canonical-pope,,,,,Source list label: Stephen VII (VIII). Stephen numbering varies by historical convention after the removal of Pope-elect Stephen from the official list.,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-125,125,Marinus II,Marinus II,marinus-ii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-126,126,Agapetus II,Agapetus II,agapetus-ii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-127,127,John XI,John XI,john-xi,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-128,128,Leo VII,Leo VII,leo-vii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-129,129,Stephen VIII (IX),Stephen VIII (IX),stephen-viii-ix,,canonical-pope,,,,,Source list label: Stephen VIII (IX). Stephen numbering varies by historical convention after the removal of Pope-elect Stephen from the official list.,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-130,130,John XII,John XII,john-xii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-131,131,Leo VIII,Leo VIII,leo-viii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-132,132,Benedict V,Benedict V,benedict-v,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-133,133,John XIII,John XIII,john-xiii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-134,134,Benedict VI,Benedict VI,benedict-vi,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-135,135,Benedict VII,Benedict VII,benedict-vii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-136,136,John XIV,John XIV,john-xiv,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-137,137,John XV,John XV,john-xv,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-138,138,Gregory V,Gregory V,gregory-v,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-139,139,Sylvester II,Sylvester II,sylvester-ii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-140,140,John XVII,John XVII,john-xvii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-141,141,John XVIII,John XVIII,john-xviii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-142,142,Sergius IV,Sergius IV,sergius-iv,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-143,143,Benedict VIII,Benedict VIII,benedict-viii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-144,144,John XIX,John XIX,john-xix,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-145,145,Benedict IX,Benedict IX,benedict-ix,,canonical-pope,,,,,Same person modeled with three separate canonical pontificate records.,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-146,146,Sylvester III,Sylvester III,sylvester-iii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-147,147,Gregory VI,Gregory VI,gregory-vi,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-148,148,Clement II,Clement II,clement-ii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-149,149,Damasus II,Damasus II,damasus-ii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-150,150,Leo IX,Leo IX,leo-ix,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-151,151,Victor II,Victor II,victor-ii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-152,152,Stephen IX (X),Stephen IX (X),stephen-ix-x,,canonical-pope,,,,,Source list label: Stephen IX (X). Stephen numbering varies by historical convention after the removal of Pope-elect Stephen from the official list.,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-153,153,Nicholas II,Nicholas II,nicholas-ii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
